RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
SOBKUS;74;E6;6;2;6;4,48;1,220245;7,6108;23,87967;0,08674067;9,12507;0,048819;0,999868
SOBKUS;74;E6;6;2;6;4,33;1,235889;7,90728;24,83073;0,08930777;8,91929;0,089273;1
SOBKUS;74;E6;6;2;6;4,6;1,189933;7,05759;22,45811;0,08551608;9,20763;0,04916;1
SOBKUS;74;E6;6;2;6;4,53;1,237045;7,92948;24,32332;0,08551424;10,13656;0,029956;1
SOBKUS;74;E6;6;2;6;4,65;1,197066;7,18527;22,74501;0,08539381;9,24041;0,022591;1
SOBKUS;74;E6;6;2;6;4,66;1,20851;7,39332;23,20819;0,08583082;9,43343;0,065281;1
SOBKUS;74;E6;6;2;6;4,34;1,230301;7,8005;24,11778;0,08592223;9,77981;0,059049;1
SOBKUS;74;E6;6;2;6;4,28;1,300156;9,20608;27,9472;0,10576201;8,22481;0,320887;1
SOBKUS;74;E6;6;2;6;4,41;1,237658;7,94127;24,80951;0,09128232;8,78914;0,166392;1
SOBKUS;74;E6;6;2;6;4,72;1,200751;7,25183;22,86502;0,08550065;9,35973;0,051582;1
SOBKUS;74;E6;6;2;6;4,42;1,22317;7,66565;24,16529;0,0893029;8,76042;0,12875;1
SODJUT;12;E2;2;1;6;5,85;1,264436;8,46796;24,9414;0,08344942;11,25928;0;1
SODJUT;12;E2;2;2;6;5,69;1,309427;9,40443;26,39505;0,08336937;12,4508;0,05228;0,978171
SODKAA;12;E2;2;1;6;5,79;1,260592;8,39098;24,8034;0,0835732;11,1321;0;1
SODKAA;12;E2;2;2;6;5,67;1,320365;9,64207;26,90639;0,08353653;12,71383;0,052534;0,981628
SODNOR;65;Ln;3;24;8;7,78;1,369953;10,76974;27,13389;0,08058955;21,75114;0,074594;1
SODNUX;65;Ln;3;24;9;8,26;1,354602;10,41174;26,42019;0,07971231;26,7867;0,021855;1
SODRUB;65;Ln;3;24;9;7,89;1,360689;10,55274;26,70128;0,07985992;27,07696;0,032658;1
SOFDEZ;72;E4;4;12;8;7,63;1,265677;8,49293;23,58368;0,08116621;17,97147;0,004759;1
SOFDEZ;72;E4;4;6;8;7,61;1,316558;9,55891;25,66835;0,08283082;19,24693;0,021846;1
SOFJIJ;3;E1;1;4;4;4,59;1,400831;11,51453;31,269;0,09295979;3,52955;0,181194;0,804352
SOFJIJ;3;E1;1;4;4;4,34;1,387747;11,19488;30,86263;0,09053959;3,57992;0,137515;0,837591
SOFJOP;11;E1;1;4;4;5,8;1,635341;18,31949;39,51276;0,09235161;4,28751;0,400753;0,68205
SOFJOP;11;E1;1;4;6;6,38;1,488576;13,81661;33,49762;0,08286319;18,64586;0,006291;0,856749
SOFJOP;11;E1;1;8;6;6,23;1,482668;13,65277;32,20526;0,08319782;17,21732;0,052065;0,820624
